순번	종류번호	음식번호	사번	총주문금액	주문일자
517	3	47	10007	1	6000	2020-10-03 17:52:48
518	3	52	10007	1	5000	2020-10-03 17:52:48
519	3	54	10007	1	5500	2020-10-03 17:52:48
520	3	48	10007	1	6000	2020-10-03 17:52:48
521	1	2	10001	1	4500	2020-10-03 07:55:31
522	1	8	10006	1	6000	2020-10-03 17:52:26
523	1	25	10001	1	1000	2020-10-03 07:55:31
524	1	12	10003	2	9000	2020-10-03 07:56:04
525	1	4	10003	2	8000	2020-10-03 07:56:04
526	1	16	10004	1	4000	2020-10-03 07:56:26
527	1	15	10004	1	5500	2020-10-03 07:56:26
528	1	2	10004	1	4500	2020-10-03 07:56:26
529	1	1	10011	1	1000	2020-10-03 07:57:26
530	1	23	10011	1	4000	2020-10-03 07:57:26
531	1	22	10011	1	3500	2020-10-03 07:57:26
532	1	25	10012	1	1000	2020-11-03 07:58:52
533	4	60	10005	1	5500	2020-11-03 07:59:19
534	4	63	10005	1	7000	2020-11-03 07:59:19
535	4	69	10005	1	9000	2020-11-03 07:59:19
536	4	72	10005	1	9000	2020-11-03 07:59:19
537	3	48	10013	1	6000	2020-11-03 07:59:42
538	3	46	10013	1	5000	2020-11-03 07:59:42
539	2	32	10018	2	10000	2020-11-03 08:00:08
540	1	1	10002	1	1000	2020-11-03 12:26:56
541	1	15	10002	1	5500	2020-11-03 12:26:56
542	1	25	10002	1	1000	2020-11-03 12:26:56
543	2	32	10008	2	10000	2020-11-03 12:27:54
544	2	39	10008	1	7000	2020-11-03 12:27:54
545	4	63	10005	5	35000	2020-11-03 12:28:19
546	4	68	10005	1	8000	2020-11-03 12:28:19
547	3	50	10014	2	11000	2020-11-03 12:28:41
548	3	46	10014	1	5000	2020-11-03 12:28:41
549	2	38	10001	2	11000	2020-11-03 12:28:48
550	1	1	10012	1	1000	2020-11-03 12:49:14
551	1	22	10012	1	3500	2020-11-03 12:49:14
552	1	16	10012	1	4000	2020-11-03 12:49:14
553	1	3	10002	1	4500	2020-11-03 17:50:22
554	1	5	10002	1	3000	2020-11-03 17:50:22
555	1	13	10002	1	5000	2020-11-03 17:50:22
556	2	36	10009	2	9000	2020-11-03 17:50:37
557	2	37	10009	1	7000	2020-11-03 17:50:37
558	2	38	10009	2	11000	2020-11-03 17:50:37
559	4	66	10019	2	15000	2020-11-03 17:50:50
560	1	3	10016	1	4500	2020-11-03 17:51:09
561	1	6	10016	1	5000	2020-11-03 17:51:09
562	4	62	10010	1	6000	2020-11-03 17:51:26
563	2	33	10015	1	5000	2020-11-03 17:51:45
564	1	8	10006	1	6000	2020-11-03 17:52:26
565	1	24	10006	1	3000	2020-11-03 17:52:26
566	3	46	10007	1	5000	2020-11-03 17:52:48
567	3	47	10007	1	6000	2020-11-03 17:52:48
568	3	52	10007	1	5000	2020-11-03 17:52:48
569	3	54	10007	1	5500	2020-11-03 17:52:48
570	3	48	10007	1	6000	2020-11-03 17:52:48
571	3	46	10007	1	5000	2020-11-03 17:52:48
572	3	46	10007	1	5000	2020-11-03 17:52:48
573	3	46	10007	1	5000	2020-11-03 17:52:48
574	3	46	10007	1	5000	2020-11-03 17:52:48
575	3	46	10007	1	5000	2020-11-03 17:52:48
576	4	66	10019	2	15000	2020-11-03 17:50:50
577	4	66	10019	2	15000	2020-11-03 17:50:50
578	4	66	10019	2	15000	2020-11-03 17:50:50
579	1	2	10001	1	4500	2020-11-03 07:55:31
580	1	25	10001	1	1000	2020-11-03 07:55:31
581	1	12	10003	2	9000	2020-11-03 07:56:04
582	1	4	10003	2	8000	2020-11-03 07:56:04
583	1	16	10004	1	4000	2020-11-03 07:56:26
584	1	15	10004	1	5500	2020-11-03 07:56:26
585	1	2	10004	1	4500	2020-11-03 07:56:26
586	1	1	10011	1	1000	2020-11-03 07:57:26
587	1	23	10011	1	4000	2020-11-03 07:57:26
588	1	22	10011	1	3500	2020-11-03 07:57:26
589	1	10	10012	1	6000	2020-11-03 07:58:52
590	1	25	10012	1	1000	2020-11-03 07:58:52
591	4	60	10005	1	5500	2020-11-03 07:59:19
592	4	63	10005	1	7000	2020-11-03 07:59:19
593	1	8	10006	1	6000	2020-12-03 17:52:26
594	1	24	10006	1	3000	2020-12-03 17:52:26
595	3	46	10007	1	5000	2020-12-03 17:52:48
596	3	47	10007	1	6000	2020-12-03 17:52:48
597	3	52	10007	1	5000	2020-12-03 17:52:48
598	3	54	10007	1	5500	2020-12-03 17:52:48
599	3	48	10007	1	6000	2020-12-03 17:52:48
600	3	46	10007	1	5000	2020-12-03 17:52:48
601	3	46	10007	1	5000	2020-12-03 17:52:48
602	3	46	10007	1	5000	2020-12-03 17:52:48
603	3	46	10007	1	5000	2020-12-03 17:52:48
604	3	46	10007	1	5000	2020-12-03 17:52:48
605	4	66	10019	2	15000	2020-12-03 17:50:50
606	4	66	10019	2	15000	2020-12-03 17:50:50
607	4	66	10019	2	15000	2020-12-03 17:50:50
608	1	2	10001	1	4500	2020-12-03 07:55:31
609	1	25	10001	1	1000	2020-12-03 07:55:31
610	1	12	10003	2	9000	2020-12-03 07:56:04
611	1	4	10003	2	8000	2020-12-03 07:56:04
612	1	16	10004	1	4000	2020-12-03 07:56:26
613	1	15	10004	1	5500	2020-12-03 07:56:26
614	1	2	10004	1	4500	2020-12-03 07:56:26
615	1	1	10011	1	1000	2020-12-03 07:57:26
616	1	23	10011	1	4000	2020-12-03 07:57:26
617	1	22	10011	1	3500	2020-12-03 07:57:26
618	1	10	10012	1	6000	2020-12-03 07:58:52
619	1	25	10012	1	1000	2020-12-03 07:58:52
620	4	60	10005	1	5500	2020-12-03 07:59:19
621	4	63	10005	1	7000	2020-12-03 07:59:19
622	4	69	10005	1	9000	2020-12-03 07:59:19
623	4	72	10005	1	9000	2020-12-03 07:59:19
624	3	48	10013	1	6000	2020-12-03 07:59:42
625	3	46	10013	1	5000	2020-12-03 07:59:42
626	2	32	10018	2	10000	2020-12-03 08:00:08
627	1	1	10002	1	1000	2020-12-03 12:26:56
628	1	15	10002	1	5500	2020-12-03 12:26:56
629	1	25	10002	1	1000	2020-12-03 12:26:56
630	2	32	10008	2	10000	2020-12-03 12:27:54
631	2	39	10008	1	7000	2020-12-03 12:27:54
632	4	63	10005	5	35000	2020-12-03 12:28:19
633	4	68	10005	1	8000	2020-12-03 12:28:19
634	3	50	10014	2	11000	2020-12-03 12:28:41
635	3	46	10014	1	5000	2020-12-03 12:28:41
636	2	38	10001	2	11000	2020-12-03 12:28:48
637	1	1	10012	1	1000	2020-12-03 12:49:14
638	3	50	10014	2	11000	2020-12-03 12:28:41
639	3	46	10014	1	5000	2020-12-03 12:28:41
640	2	38	10001	2	11000	2020-12-03 12:28:48
641	1	1	10012	1	1000	2020-12-03 12:49:14
642	1	22	10012	1	3500	2020-12-03 12:49:14
643	1	16	10012	1	4000	2020-12-03 12:49:14
644	1	3	10002	1	4500	2020-12-03 17:50:22
645	1	5	10002	1	3000	2020-12-03 17:50:22
646	1	13	10002	1	5000	2020-12-03 17:50:22
647	2	36	10009	2	9000	2020-12-03 17:50:37
648	2	37	10009	1	7000	2020-12-03 17:50:37
649	2	38	10009	2	11000	2020-12-03 17:50:37
650	4	66	10019	2	15000	2020-12-03 17:50:50
651	1	3	10016	1	4500	2020-12-03 17:51:09
652	1	6	10016	1	5000	2020-12-03 17:51:09
653	4	62	10010	1	6000	2020-12-03 17:51:26
654	2	33	10015	1	5000	2020-12-03 17:51:45
655	1	8	10006	1	6000	2020-12-03 17:52:26
656	1	24	10006	1	3000	2020-12-03 17:52:26
657	3	46	10007	1	5000	2020-12-03 17:52:48
658	3	47	10007	1	6000	2020-12-03 17:52:48
659	3	52	10007	1	5000	2020-12-03 17:52:48
660	3	54	10007	1	5500	2020-12-03 17:52:48
661	3	48	10007	1	6000	2020-12-03 17:52:48
662	1	2	10001	1	4500	2020-12-03 07:55:31
